player_name,team,year,PA,AB,H,2B,3B,HR,BA,SB,CS
Erick Mejia,Kansas City Royals,19,27,22,5,1,0,0,0.227,0,0
Jorge Bonifacio,Kansas City Royals,19,21,20,7,3,0,0,0.35,0,0
Frank Schwindel,Kansas City Royals,19,15,15,1,0,0,0,0.067,0,0
Jonathan Lucroy,Los Angeles Angels,19,268,240,58,8,1,7,0.242,0,0
Albert Pujols,Los Angeles Angels,19,545,491,120,22,0,23,0.244,3,0
Luis Rengifo,Los Angeles Angels,19,406,357,85,18,3,7,0.238,2,5
Andrelton Simmons,Los Angeles Angels,19,424,398,105,19,0,7,0.264,10,2
David Fletcher,Los Angeles Angels,19,653,596,173,30,4,6,0.29,8,3
Brian Goodwin,Los Angeles Angels,19,458,413,108,29,3,17,0.262,7,3
Mike Trout,Los Angeles Angels,19,600,470,137,27,2,45,0.291,11,2
Kole Calhoun,Los Angeles Angels,19,632,552,128,29,1,33,0.232,4,1
Shohei Ohtani,Los Angeles Angels,19,425,384,110,20,5,18,0.286,12,3
Tommy La Stella,Los Angeles Angels,19,321,292,86,8,0,16,0.295,0,0
Justin Upton,Los Angeles Angels,19,256,219,47,8,0,12,0.215,1,1
Kevan Smith,Los Angeles Angels,19,211,191,48,12,0,5,0.251,2,0
Justin Bour,Los Angeles Angels,19,170,151,26,5,0,8,0.172,0,0
Matt Thaiss,Los Angeles Angels,19,164,147,31,7,0,8,0.211,0,0
Zack Cozart,Los Angeles Angels,19,107,97,12,2,0,0,0.124,0,0
Wilfredo Tovar,Los Angeles Angels,19,88,83,16,5,0,0,0.193,0,0
Jared Walsh,Los Angeles Angels,19,87,79,16,5,1,1,0.203,0,0
Dustin Garneau,Los Angeles Angels,19,82,69,16,3,0,2,0.232,0,0
Anthony Bemboom,Los Angeles Angels,19,51,49,5,0,0,1,0.102,0,0
Cesar Puello,Los Angeles Angels,19,50,41,16,3,0,3,0.39,0,0
Max Stassi,Los Angeles Angels,19,49,42,3,0,0,0,0.071,0,0
Taylor Ward,Los Angeles Angels,19,48,42,8,3,0,1,0.19,0,0
Michael Hermosillo,Los Angeles Angels,19,46,36,5,1,1,0,0.139,2,0
Peter Bourjos,Los Angeles Angels,19,46,44,4,1,0,0,0.091,2,0
Kaleb Cowart,Los Angeles Angels,19,26,25,4,3,0,0,0.16,1,0
Jarrett Parker,Los Angeles Angels,19,15,12,0,0,0,0,0,0,0
Kean Wong,Los Angeles Angels,19,4,4,0,0,0,0,0,0,0
Austin Barnes,Los Angeles Dodgers,19,242,212,43,12,1,5,0.203,3,0
Max Muncy,Los Angeles Dodgers,19,589,487,122,22,1,35,0.251,4,1
Enrique Hernandez,Los Angeles Dodgers,19,460,414,98,19,1,17,0.237,4,0
Corey Seager,Los Angeles Dodgers,19,541,489,133,44,1,19,0.272,1,0
Justin Turner,Los Angeles Dodgers,19,549,479,139,24,0,27,0.29,2,0
Joc Pederson,Los Angeles Dodgers,19,514,450,112,16,3,36,0.249,1,1
A.J. Pollock,Los Angeles Dodgers,19,342,308,82,15,1,15,0.266,5,1
Cody Bellinger,Los Angeles Dodgers,19,661,558,170,34,3,47,0.305,15,5
Chris Taylor,Los Angeles Dodgers,19,414,366,96,29,4,12,0.262,8,0
Alex Verdugo,Los Angeles Dodgers,19,377,343,101,22,2,12,0.294,4,1
Matt Beaty,Los Angeles Dodgers,19,268,249,66,19,1,9,0.265,5,0
Russell Martin,Los Angeles Dodgers,19,249,209,46,5,0,6,0.22,1,0
Will Smith,Los Angeles Dodgers,19,196,170,43,9,0,15,0.253,2,0
David Freese,Los Angeles Dodgers,19,186,162,51,13,0,11,0.315,0,0
Gavin Lux,Los Angeles Dodgers,19,82,75,18,4,1,2,0.24,2,0
Kristopher Negron,Los Angeles Dodgers,19,57,54,14,1,0,2,0.259,0,1
Edwin Rios,Los Angeles Dodgers,19,56,47,13,2,1,4,0.277,0,0
Kyle Garlick,Los Angeles Dodgers,19,53,48,12,4,0,3,0.25,0,0
Jedd Gyorko,Los Angeles Dodgers,19,39,36,5,1,0,0,0.139,0,0
Tyler White,Los Angeles Dodgers,19,26,22,1,0,0,0,0.045,0,0
Rocky Gale,Los Angeles Dodgers,19,15,15,2,0,0,0,0.133,0,0
Travis d'Arnaud,Los Angeles Dodgers,19,1,1,0,0,0,0,0,0,0
Jorge Alfaro,Miami Marlins,19,465,431,113,14,1,18,0.262,4,4
Garrett Cooper,Miami Marlins,19,421,381,107,16,1,15,0.281,0,0
Starlin Castro,Miami Marlins,19,676,636,172,31,4,22,0.27,2,2
Miguel Rojas,Miami Marlins,19,526,483,137,29,1,5,0.284,9,5
Brian Anderson,Miami Marlins,19,520,459,120,33,1,20,0.261,5,1
Curtis Granderson,Miami Marlins,19,363,317,58,17,1,12,0.183,0,3
Lewis Brinson,Miami Marlins,19,248,226,39,9,1,0,0.173,1,1
Harold Ramirez,Miami Marlins,19,446,421,116,20,3,11,0.276,2,1
Neil Walker,Miami Marlins,19,381,337,88,19,1,8,0.261,3,0
Jon Berti,Miami Marlins,19,287,256,70,14,1,6,0.273,17,3
Martin Prado,Miami Marlins,19,260,245,57,9,0,2,0.233,0,0
Isan Diaz,Miami Marlins,19,201,179,31,5,2,5,0.173,0,3
Austin Dean,Miami Marlins,19,189,178,40,14,0,6,0.225,0,2
JT Riddle,Miami Marlins,19,139,132,25,6,0,6,0.189,0,0
Bryan Holaday,Miami Marlins,19,129,115,32,6,0,4,0.278,0,1
Rosell Herrera,Miami Marlins,19,119,105,21,6,0,2,0.2,4,1
Cesar Puello,Miami Marlins,19,97,84,15,2,0,1,0.179,0,0
Yadiel Rivera,Miami Marlins,19,66,60,11,2,0,0,0.183,2,0
Chad Wallach,Miami Marlins,19,54,48,12,3,0,1,0.25,0,0
Isaac Galloway,Miami Marlins,19,54,54,9,1,0,0,0.167,2,0
Peter O'Brien,Miami Marlins,19,47,42,7,1,0,1,0.167,1,0
Magneuris Sierra,Miami Marlins,19,42,40,14,1,1,0,0.35,3,3
Tyler Heineman,Miami Marlins,19,12,11,3,1,0,1,0.273,0,0
Wilkin Castillo,Miami Marlins,19,7,7,1,1,0,0,0.143,0,0
Deven Marrero,Miami Marlins,19,5,5,0,0,0,0,0,0,0
Yasmani Grandal,Milwaukee Brewers,19,632,513,126,26,2,28,0.246,5,1
Eric Thames,Milwaukee Brewers,19,459,396,98,23,2,25,0.247,3,2
Keston Hiura,Milwaukee Brewers,19,348,314,95,23,2,19,0.303,9,3
Orlando Arcia,Milwaukee Brewers,19,546,494,110,16,1,15,0.223,8,5
Mike Moustakas,Milwaukee Brewers,19,584,523,133,30,1,35,0.254,3,0
Ryan Braun,Milwaukee Brewers,19,508,459,131,31,2,22,0.285,11,1
Lorenzo Cain,Milwaukee Brewers,19,623,562,146,30,0,11,0.26,18,8
Christian Yelich,Milwaukee Brewers,19,580,489,161,29,3,44,0.329,30,2
Ben Gamel,Milwaukee Brewers,19,356,311,77,18,0,7,0.248,2,2
Travis Shaw,Milwaukee Brewers,19,270,230,36,5,0,7,0.157,0,0
Jesus Aguilar,Milwaukee Brewers,19,262,222,50,9,0,8,0.225,0,0
Hernan Perez,Milwaukee Brewers,19,246,232,53,11,0,8,0.228,5,1
Trent Grisham,Milwaukee Brewers,19,183,156,36,6,2,6,0.231,1,0
Manny Pina,Milwaukee Brewers,19,179,158,36,8,0,7,0.228,0,0
Cory Spangenberg,Milwaukee Brewers,19,102,95,22,2,2,2,0.232,3,0
Tyler Saladino,Milwaukee Brewers,19,71,65,8,0,0,2,0.123,2,0
Tyler Austin,Milwaukee Brewers,19,27,20,4,2,0,1,0.2,1,0
David Freitas,Milwaukee Brewers,19,16,13,1,0,0,0,0.077,0,0
Tyrone Taylor,Milwaukee Brewers,19,12,10,4,2,0,0,0.4,0,0
Jacob Nottingham,Milwaukee Brewers,19,7,6,2,0,0,1,0.333,0,0
Mauricio Dubon,Milwaukee Brewers,19,2,2,0,0,0,0,0,0,0
Mitch Garver,Minnesota Twins,19,359,311,85,16,1,31,0.273,0,0
C.J. Cron,Minnesota Twins,19,499,458,116,24,0,25,0.253,0,0
Jonathan Schoop,Minnesota Twins,19,464,433,111,23,1,23,0.256,1,1
Jorge Polanco,Minnesota Twins,19,704,631,186,40,7,22,0.295,4,3
Miguel Sano,Minnesota Twins,19,439,380,94,19,2,34,0.247,0,1
Eddie Rosario,Minnesota Twins,19,590,562,155,28,1,32,0.276,3,1
Byron Buxton,Minnesota Twins,19,295,271,71,30,4,10,0.262,14,3
Max Kepler,Minnesota Twins,19,596,524,132,32,0,36,0.252,1,5
Nelson Cruz,Minnesota Twins,19,521,454,141,26,0,41,0.311,0,1
Marwin Gonzalez,Minnesota Twins,19,463,425,112,19,0,15,0.264,1,0
Luis Arraez,Minnesota Twins,19,366,326,109,20,1,4,0.334,2,2
Jason Castro,Minnesota Twins,19,275,237,55,9,0,13,0.232,0,0
Ehire Adrianza,Minnesota Twins,19,236,202,55,8,3,5,0.272,0,2
Jake Cave,Minnesota Twins,19,228,198,51,11,2,8,0.258,0,0
Willians Astudillo,Minnesota Twins,19,204,190,51,9,0,4,0.268,0,0
LaMonte Wade Jr,Minnesota Twins,19,69,56,11,2,1,2,0.196,0,1
Ryan LaMarre,Minnesota Twins,19,26,23,5,0,0,2,0.217,1,1
Ronald Torreyes,Minnesota Twins,19,17,16,3,0,0,0,0.188,1,0
Ian Miller,Minnesota Twins,19,17,17,3,1,0,0,0.176,0,0
Tyler Austin,Minnesota Twins,19,5,4,1,1,0,0,0.25,0,0
Wilson Ramos,New York Mets,19,524,473,136,19,0,14,0.288,1,0
Pete Alonso,New York Mets,19,693,597,155,30,2,53,0.26,1,0
Robinson Cano,New York Mets,19,423,390,100,28,0,13,0.256,0,0
Amed Rosario,New York Mets,19,655,616,177,30,7,15,0.287,19,10
Todd Frazier,New York Mets,19,499,447,112,19,2,21,0.251,1,2
J.D. Davis,New York Mets,19,453,410,126,22,1,22,0.307,3,0
Juan Lagares,New York Mets,19,285,258,55,12,1,5,0.213,4,1
Michael Conforto,New York Mets,19,648,549,141,29,1,33,0.257,7,2
Jeff McNeil,New York Mets,19,567,510,162,38,1,23,0.318,5,6
Brandon Nimmo,New York Mets,19,254,199,44,11,1,8,0.221,3,0
Dominic Smith,New York Mets,19,197,177,50,10,0,11,0.282,1,2
Adeiny Hechavarria,New York Mets,19,151,142,29,7,0,5,0.204,3,1
Tomas Nido,New York Mets,19,144,136,26,5,0,4,0.191,0,0
Joe Panik,New York Mets,19,103,94,26,4,1,2,0.277,0,0
Carlos Gomez,New York Mets,19,99,86,17,3,0,3,0.198,4,1
Luis Guillorme,New York Mets,19,70,61,15,4,0,1,0.246,0,0
Keon Broxton,New York Mets,19,53,49,7,1,0,0,0.143,4,1
Aaron Altherr,New York Mets,19,35,31,4,1,0,1,0.129,0,0
Rajai Davis,New York Mets,19,26,25,5,2,0,1,0.2,0,1
Travis d'Arnaud,New York Mets,19,25,23,2,0,0,0,0.087,0,0
Rene Rivera,New York Mets,19,20,17,4,0,0,1,0.235,0,0
Ruben Tejada,New York Mets,19,9,9,0,0,0,0,0,0,0
Jed Lowrie,New York Mets,19,8,7,0,0,0,0,0,0,0
Sam Haggerty,New York Mets,19,4,4,0,0,0,0,0,0,0
Gary Sanchez,New York Yankees,19,446,396,92,12,1,34,0.232,0,1
Luke Voit,New York Yankees,19,510,429,113,21,1,21,0.263,0,0
DJ LeMahieu,New York Yankees,19,655,602,197,33,2,26,0.327,5,2
Didi Gregorius,New York Yankees,19,344,324,77,14,2,16,0.238,2,1
Gio Urshela,New York Yankees,19,476,442,139,34,0,21,0.314,1,1
